city_development_index,relevent_experience,education_level,company_size,training_hours,experience_num,last_new_job_num,training_per_experience,training_hours_log1p,city_ordinal,gender_ordinal,enrolled_university_ordinal,experience_level_ordinal,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,target
-0.32621310224000183,-1.5978920931947924,-0.19403357731714047,-0.09556967969339583,1.3101386102146122,-1.051250386797434,-1.1876296323287348,1.470076406145886,1.246571301795344,114.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.1942405669422522,0.625824487309791,-0.19403357731714047,0.4509503223059377,-0.888158715273598,-0.9037678298648959,-0.5871653798109829,-0.4463640856379005,-1.3084947767250057,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.0644420675475241,-1.5978920931947924,-0.19403357731714047,-0.09556967969339583,-0.2553155458148708,-1.198732943729972,-1.1876296323287348,0.3673626311115644,0.13958624836112085,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7365121115543425,0.625824487309791,-0.19403357731714047,2.0905103283039383,-0.7882361095695885,0.5710577394604853,1.8146916302600247,-0.5148083889158929,-0.9064600568654245,102.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7365121115543425,-1.5978920931947924,1.2579699225840064,-0.09556967969339583,-0.08877786964152154,0.8660228533255616,1.8146916302600247,-0.38194591784684884,0.32927155582368395,102.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7365121115543425,0.625824487309791,-3.0980405771194346,0.9974703243052713,-0.5717371305442344,-0.7562852729323578,-1.1876296323287348,-0.2885619419691958,-0.3541934053691113,102.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.2045270090574432,0.625824487309791,-0.19403357731714047,0.4509503223059377,0.6273341379038803,0.2760926255954091,0.013298872706768963,-0.13134479234560226,0.8944843032239043,101.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7365121115543425,0.625824487309791,-0.19403357731714047,2.0905103283039383,0.6106803702865453,-0.9037678298648959,0.013298872706768963,0.580300463531985,0.8842483878667016,102.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.22075182148178435,0.625824487309791,-0.19403357731714047,-1.7351296856913965,0.21098994747050712,0.7185402963930234,-0.5871653798109829,-0.3051977101270412,0.603207165655654,64.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7365121115543425,0.625824487309791,-0.19403357731714047,-0.09556967969339583,0.5107577645825357,-0.6088027159998196,-0.5871653798109829,0.1989679166974561,0.8206647683241701,102.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
